user_id,FA-Score,AE-Score,PU-Score,RW-Score,UES-Score
dce9a213-82cf-49e3-b209-6d3e9be5b964,2.33,3.0,3.67,3.0,3.0
89183017-3e13-4660-b81d-19b193533f87,4.67,5.0,4.67,4.67,4.75
8c3fc22c-4fe4-4fca-a34f-d271fbace09b,3.67,3.67,5.0,4.33,4.17
caf711b5-2061-4b97-adc2-c7f8238aefdc,4.0,4.0,3.0,5.0,4.0
e14ec5a0-e14a-4fa9-8264-7cbde6cbc2ad,4.33,4.33,5.0,5.0,4.66
43796b89-de58-455f-9e20-21c44e16469f,1.0,1.0,2.33,2.33,1.66
173d7d29-33b2-4ffe-b541-e7739073533d,5.0,1.0,2.33,2.33,2.66
4909fb8f-a289-4aaa-a7d1-e8fef077ec9e,2.67,3.67,2.0,3.67,3.0
6e3d37b2-ad2d-4dd7-bf4f-cb7387001642,4.33,4.33,4.67,5.0,4.58
a5e53f3b-ad77-428f-bfbf-52feb4abf3f6,4.0,4.33,4.0,5.0,4.33
6c16f363-f550-44ba-8049-7e76e6fc795b,4.67,5.0,4.67,5.0,4.84
e3da0af5-9676-4173-af90-f0185778c6ff,4.67,5.0,5.0,5.0,4.92
fb57c7e0-11fe-4014-b274-6fafbbf88469,3.67,3.67,2.67,4.67,3.67
39b18ee9-2410-430f-869e-e16b58d3b22b,4.0,4.0,3.0,4.0,3.75
eefee5a1-fe6a-45a5-b85c-32f13156c5d4,4.67,5.0,5.0,5.0,4.92
92c73d1d-0c60-4016-96df-7fe074e5c784,4.33,5.0,5.0,4.67,4.75
9319bc21-4a28-436b-972e-c0a3ee8aa5c2,2.0,4.0,4.67,4.33,3.75
022d250f-f709-400f-9e82-60d5dc757b83,5.0,5.0,5.0,5.0,5.0
452940c2-1ce1-4850-812a-19278d759d22,4.33,5.0,5.0,5.0,4.83
0d6870f5-d3e8-4c46-90de-4a65e9fe0f23,5.0,5.0,5.0,5.0,5.0
25af2fca-dadd-4640-ae3d-17d62031743e,5.0,4.67,5.0,4.67,4.84
592abd6a-ef29-4ad9-b93c-2b69bdb81236,3.0,3.67,4.0,4.33,3.75
04f4264b-6341-45d9-8ffc-47f8e1eb8731,1.67,3.0,4.0,4.0,3.17
23cc43f1-d78a-499c-a39d-24102ff0c8d1,1.67,3.67,5.0,4.33,3.67
4c49de36-8c7c-4119-aa6f-e2f4fd97a492,1.0,1.0,3.67,1.0,1.67
2f98b9c0-2f7c-4b82-a1f5-6762478960de,4.67,4.0,4.33,4.0,4.25
57575466-6e5f-4aa3-8769-ccdde3888df8,1.67,1.33,2.67,1.33,1.75
2b1eacd7-776e-4217-9709-4aadea9b453b,2.67,3.67,3.0,3.33,3.17
927b63d9-8021-4847-ae6f-4229783657b0,4.0,3.0,2.67,3.0,3.17
1b33983e-ef50-4711-8749-02cee11fa1df,5.0,5.0,4.67,5.0,4.92
b6662cb5-4458-43b9-8add-2e058335ad30,1.0,3.0,3.0,3.0,2.5
960db6e9-3a04-4710-accd-1af645d7d98f,3.0,4.0,3.33,4.67,3.75
216e09f4-2a96-4609-ac7d-b3e80692ef8a,3.67,3.0,5.0,3.67,3.84
9d423322-8459-4391-9a64-6bf32778f4f0,3.0,3.67,4.67,3.67,3.75
bff8f4a4-d6c5-471f-90f8-468d2626fb9e,3.67,3.0,4.33,4.67,3.92
1100ba1c-b549-4f11-a369-5eb916e11249,5.0,5.0,4.67,5.0,4.92
be4cae48-1030-4e42-8a82-91b5de267620,3.0,4.0,5.0,4.0,4.0
1b0d4b43-d771-4a5d-9a1a-5a6dfbe1dcb4,3.67,4.67,4.0,4.33,4.17
e4bdc59c-df09-4abd-b26e-483f0d0e29d0,3.67,4.67,5.0,5.0,4.58
4c41ecb0-0a74-4c7d-b56e-68cb01f988f7,3.0,3.67,3.33,4.0,3.5
6b951a55-6572-4028-b7d7-5f0bf1fa0fb4,3.33,3.67,3.33,3.67,3.5
bb6d381b-0182-4770-a73a-75a88b9a1d02,4.33,4.0,5.0,5.0,4.58
483f0fba-2deb-45c3-9cf1-fd407a31ea97,3.67,3.0,3.33,3.33,3.33
8d141a36-e461-47bb-904c-3603604f1937,1.33,2.0,2.67,1.67,1.92
cf37b95d-6616-4893-87a8-c5e471932e39,3.0,3.33,5.0,3.67,3.75
dba7e682-58f6-42ec-bcdd-ab0d8e210d20,3.0,3.33,4.67,3.33,3.58
375cca22-1498-463a-ba40-1b180f1d2eab,3.67,5.0,4.67,4.67,4.5
474c532e-dc2b-4fe2-bc93-c1b74acc92d9,3.33,4.33,5.0,5.0,4.42
fab1d94e-5eb7-463d-be4c-e265f6eb2d87,1.67,1.67,3.0,2.0,2.08
32f5154a-840d-4004-ab51-a3f2c6f5f312,4.0,4.67,5.0,5.0,4.67
